age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,debt_to_income,dependents,education,self_employed,property_area,existing_loans,loan_status
25,44722.0,7,649,18180.0,36,0.38,2,High School,No,Urban,1,Approved
55,42751.0,27,591,32989.0,60,0.577,0,High School,Yes,Semiurban,2,Rejected
50,83954.0,19,709,8518.0,60,0.353,1,Master,Yes,Semiurban,0,Approved
40,86301.0,17,771,37117.0,12,0.217,0,High School,No,Semiurban,1,Approved
40,40978.0,11,717,16959.0,36,0.198,1,Bachelor,No,Semiurban,1,Approved
59,44062.0,3,683,9833.0,36,0.034,0,High School,Yes,Urban,3,Approved
24,74066.0,6,581,13282.0,36,0.201,0,High School,No,Urban,0,Approved
52,34889.0,0,686,56089.0,60,0.419,0,High School,No,Semiurban,1,Approved
30,43884.0,12,782,7301.0,24,0.201,0,Bachelor,No,Semiurban,2,Approved
25,57778.0,7,597,11186.0,48,0.364,1,Bachelor,No,Urban,1,Rejected
44,95116.0,24,672,33433.0,60,0.22,1,Master,No,Semiurban,1,Approved
64,39441.0,29,661,20719.0,60,0.423,3,Bachelor,Yes,Semiurban,2,Approved
54,19966.0,17,638,10762.0,12,0.182,1,Master,No,Semiurban,0,Approved
55,19167.0,17,709,33700.0,60,0.449,2,Bachelor,No,Urban,2,Rejected
53,27513.0,15,723,34756.0,24,0.352,4,High School,No,Rural,3,Approved
56,26711.0,11,722,22327.0,36,0.193,1,Master,No,Rural,2,Approved
44,50516.0,2,617,12089.0,24,0.174,2,Bachelor,Yes,Rural,3,Rejected
26,28601.0,0,567,13363.0,36,0.377,4,Master,No,Urban,2,Rejected
58,37368.0,22,710,21659.0,12,0.487,2,High School,No,Semiurban,2,Approved
41,35930.0,23,652,7672.0,24,0.201,0,Bachelor,No,Rural,2,Approved
43,43166.0,1,828,42667.0,36,0.364,0,High School,Yes,Rural,3,Rejected
37,113831.0,10,831,54353.0,60,0.325,0,High School,No,Urban,2,Approved
29,79155.0,11,839,15441.0,36,0.188,2,Bachelor,Yes,Urban,1,Approved
62,55490.0,21,619,22688.0,48,0.631,2,Master,No,Semiurban,2,Approved
56,42682.0,22,733,38906.0,48,0.271,0,Master,Yes,Urban,1,Approved
49,43339.0,21,755,64167.0,36,0.453,1,Master,No,Urban,0,Approved
39,65864.0,2,747,49522.0,12,0.411,1,Master,Yes,Semiurban,3,Approved
58,75840.0,7,663,5826.0,24,0.503,2,Master,Yes,Urban,2,Approved
45,33386.0,14,786,14662.0,36,0.436,0,Bachelor,No,Semiurban,1,Approved
40,56115.0,1,690,24924.0,60,0.066,0,Bachelor,No,Urban,3,Rejected
41,17992.0,10,700,13054.0,24,0.176,1,High School,Yes,Urban,1,Approved
31,61792.0,11,575,57350.0,48,0.094,0,Master,No,Rural,1,Rejected
25,83639.0,7,738,51908.0,60,0.262,2,Bachelor,No,Semiurban,0,Approved
45,47148.0,9,670,10591.0,60,0.241,1,High School,No,Rural,0,Approved
60,149369.0,30,725,16197.0,36,0.478,1,Bachelor,No,Urban,2,Approved
23,33874.0,5,708,11058.0,60,0.354,2,Master,No,Semiurban,3,Rejected
59,61987.0,21,704,15856.0,36,0.471,0,Bachelor,No,Semiurban,2,Approved
58,53927.0,25,687,15547.0,36,0.171,0,High School,No,Rural,1,Approved
33,52048.0,15,749,33470.0,48,0.244,3,Bachelor,Yes,Urban,3,Approved
49,51648.0,6,675,10103.0,24,0.114,2,Bachelor,No,Semiurban,2,Approved
28,58337.0,10,581,3285.0,60,0.096,0,Bachelor,No,Urban,0,Approved
55,87681.0,16,733,6343.0,48,0.276,2,High School,No,Rural,1,Approved
52,117341.0,30,629,9226.0,48,0.457,1,Bachelor,No,Urban,2,Approved
36,54932.0,1,591,11754.0,60,0.311,1,Bachelor,No,Semiurban,2,Rejected
24,86121.0,6,613,20329.0,48,0.217,2,High School,No,Semiurban,0,Approved
64,37388.0,6,711,8922.0,12,0.274,0,High School,Yes,Urban,1,Approved
41,83815.0,6,683,8192.0,36,0.272,1,Bachelor,No,Urban,3,Approved
61,36170.0,23,530,9838.0,60,0.184,0,Bachelor,No,Semiurban,3,Rejected
51,100203.0,6,661,8716.0,48,0.164,1,Master,No,Urban,2,Approved
56,185524.0,24,778,12553.0,60,0.048,1,Doctorate,Yes,Urban,2,Approved
55,51428.0,30,656,12209.0,36,0.129,3,Bachelor,No,Urban,2,Approved
29,16468.0,11,678,28170.0,36,0.409,1,Bachelor,Yes,Semiurban,1,Rejected
37,40686.0,5,768,9461.0,60,0.133,2,High School,No,Semiurban,0,Approved
42,108296.0,4,750,14267.0,48,0.26,0,Bachelor,Yes,Semiurban,2,Approved
43,74554.0,13,767,12630.0,36,0.121,1,Bachelor,No,Urban,3,Approved
22,63069.0,4,482,30452.0,12,0.112,2,Bachelor,No,Semiurban,3,Rejected
45,95784.0,24,820,16282.0,60,0.374,0,Doctorate,No,Semiurban,1,Approved
27,71793.0,9,738,35635.0,48,0.105,4,High School,No,Rural,3,Approved
54,107456.0,5,850,8511.0,36,0.177,2,Bachelor,No,Urban,1,Approved
51,91196.0,30,631,17432.0,36,0.088,3,Bachelor,Yes,Semiurban,0,Approved
62,127010.0,28,558,12380.0,24,0.273,0,Bachelor,No,Semiurban,1,Approved
54,66999.0,20,691,8113.0,36,0.218,1,High School,No,Semiurban,1,Approved
37,90489.0,19,669,17227.0,24,0.371,0,Bachelor,No,Urban,3,Approved
64,46452.0,28,739,55522.0,24,0.371,4,High School,No,Semiurban,0,Approved
39,39509.0,14,771,10340.0,60,0.479,0,Bachelor,No,Urban,1,Approved
35,140619.0,4,683,16569.0,36,0.192,2,Doctorate,No,Urban,3,Approved
61,61945.0,18,672,7671.0,60,0.301,1,Bachelor,No,Semiurban,0,Approved
37,85628.0,13,729,6972.0,36,0.133,2,High School,No,Rural,0,Approved
24,58873.0,6,671,10790.0,12,0.218,4,Master,No,Semiurban,2,Approved
42,39835.0,23,665,13435.0,36,0.138,2,High School,No,Urban,3,Approved
56,55333.0,14,768,13829.0,24,0.24,0,High School,No,Urban,1,Approved
29,121162.0,11,784,15541.0,48,0.525,2,Doctorate,No,Semiurban,2,Approved
41,74643.0,13,771,6165.0,60,0.303,1,Master,No,Rural,2,Approved
26,21456.0,8,677,11983.0,48,0.355,2,High School,No,Semiurban,3,Rejected
51,48859.0,19,530,24941.0,48,0.049,0,Bachelor,Yes,Semiurban,2,Rejected
42,146583.0,15,679,7445.0,60,0.422,2,Bachelor,No,Urban,2,Approved
35,48898.0,16,633,14290.0,48,0.114,1,Master,No,Urban,1,Approved
